Position,Company,Location,Industry,Posted On,Extracted On,Job Type,Qualification,Job Description,Job Id,Experience,Start Date,End Date,Source
UX Designer,Nutanix,Seattle WC,Pharma/pharmaceutical Domain,,,,,"Nutanix is a global leader in cloud software and a pioneer in hyperconverged infrastructure solutions, making computing invisible anywhere. Companies around the world use Nutanix software to leverage a single platform to manage any app, at any location, at any scale for their private, hybrid and multi-cloud environments.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2265947558&geoId=104116203&keywords=software%20internship&location=Seattle%2C%20Washington%2C%20United%20States
Senior Software Engineer - Data,Voyage,Seattle WC,Transportation/Trucking/Railroad,,,,,"Autonomous vehicles collect large amounts of data on a daily basis. The biggest challenge is making it easily accessible across various functions, such as analytics for tracking vehicle performance, queryable sensor data for engineers, training data for machine learning, etc. Your primary responsibility will be to own the data processing pipeline to allow us to ingest, process, and expose the large amounts of data that we’re collecting.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2268847200&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
Senior Software Engineer,Groove,Seattle WC,Internet,,,,,"We serve some of the most historically underserved users, many of whom have been stuck using unintuitive and clunky software for their whole careers. It's not uncommon that users spend 4-6 hours+ a day using and interacting with Groove. Our goal is to elevate the user and the work they can do.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2271846727&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
Senior Software Development Engineer,Stackline,Seattle WC,Retail/Ecommerce,,,,,"Sr. Software Development Engineer and you will help to drive a large-scale software development initiative in Stackline’s retail analytics platform.
Build the back-end of a SaaS product utilizing technologies such as C# or Java and Node.js.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2275717585&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=225
Software Developer Intern,Adobe,Seattle WC,Computer Software,,,,,"As member of the ACP-CS team you will work with senior development engineers, quality assurance engineers and cloud service experts to help design, build, evolve and maintain the hosted services for the core storage model. You will have several opportunities to contribute to operations, validation and finally implementation of system functions.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2277136700&geoId=104116203&keywords=software%20developer%20internship&location=Seattle%2C%20Washington%2C%20United%20States
Frontend Developer,InterSources Inc.,Seattle WC,Information Technology & Servicess,,,,,"Design and implement new user-facing features in client's products.
Write client-side code for web-based applications, create fast, easy-to-use, high volume production applications, and develop prototypes quickly.
Optimize web applications to maximize speed and scale. Support diverse clients from high powered desktop computers to small footprint mobile devices.
Build the libraries and frameworks that support large, complex web applications",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2279326420&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Senior Backend Software Engineer,Textio,Seattle WC,Software & Tech Services,,,,,"As an engineer on the Platform Engineering team, you will collaborate closely with frontend engineers, data engineers, and the product team to define and create the suite of distributed services that power our products. Our team owns both stateless and stateful backend services and uses technologies such as Python, Docker, ECS, Lambda, AppSync, DynamoDB, and RDS.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2287626559&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=75
Backend Software Engineer,Textio,Seattle WC,Software & Tech Services,,,,,"As an engineer on the Platform Engineering team, you will collaborate closely with frontend engineers, data engineers, and the product team to define and create the suite of distributed services that power our products. Our team owns both stateless and stateful backend services and uses technologies such as Python, Docker, ECS, Lambda, AppSync, DynamoDB, and RDS.

Would you like to be a part of the entire lifecycle of building new products? This is a great opportunity to participate from early idea conception all the way through to using customer feedback to iterate and improve what you've built.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2287631067&distance=25&geoId=104116203&keywords=web%20developer&start=100
Senior Software Engineer,Boundless Immigration,Seattle WC,Immigration,,,,,"Being passionate about a healthy codebase, maintainable architectures, and mentoring other engineers will make it easy for you to be successful in this role. You will work with a variety of technologies including Ruby/Rails and Javascript/React and Redux. We don't require you to initially be an expert in all of these technologies but we do expect you to have expertise in similar frameworks and to be willing to learn our technologies quickly. Solid understanding of security practices is a big plus for this position.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2287632086&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=225
Research Intern - Applied Machine Learning,Microsoft,"Seattle, WA 98101 (Downtown area)",Computer Software,,,,,"Research Internships at Microsoft provide a dynamic environment for research careers with a network of world-class research labs led by globally-recognized scientists and engineers. Our researchers and engineers pursue innovation in a range of scientific and technical disciplines to help solve complex challenges in diverse fields, including computing, healthcare, economics, and the environment.
Our Mixed Reality Team works on the frontiers of Computer Vision and Visual Learning to enable wearable devices connected to the Cloud provide physical and human augmentations of the real world for commercial and consumer scenarios. As an Intern in Mixed Reality (Hololens) R&D you will work alongside passionate and talented scientists and engineers who are working to innovate and build ground-breaking technologies and products for human augmentation through Mixed Reality. You will conduct both fundamental and applied research in computer vision, visual learning, health and wellness under the supervision of Microsoft mentors, publish your results, build prototypes and demonstrations.",,NA-Feb 2020 Data,,,https://www.indeed.com/rc/clk?jk=91dd004dd624c32f&fccid=734cb5a01ee60f80&vjs=3
SaaS Sr. Software Engineer,PROTECH,Seattle WC,Management consulting company,,,,,"Temporary staffing of IT Professionals across all vertical industries.Placement of sales professionals and excutive leadership for the information technology industry.
Work with Scrum Masters, Product Owners, Solution Architects and Managers to set expectations",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2290070739&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=275
Senior Software Engineer - (Full - Stack),Hinge Health,Seattle WC,"Health, Wellness and Fitness",,,,,"Hinge Health software engineers work on small interdisciplinary teams focused on different parts of the user journey. Full-Stack engineers contribute to their team’s success by building and extending secure, scalable services and exposing clear, well-tested APIs that power beautiful client applications. Senior full-stack engineers design and implement end-to-end solutions, profile their systems to stay out ahead of scaling bottlenecks, and help maintain a high bar with thoughtful and constructive code reviews.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2294495233&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=50
Python Web Developer,Hire Digital,Seattle WC,Internet,,,,,"A technology client is seeking a Freelance Python Web Developer responsible for managing the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements.

This is a remote position. We welcome candidates from any location. Resumes are to be submitted in English. We do not provide visa sponsorship at this moment.

",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2294901134&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Web Developer,Rec Room,Seattle WC,Consumer Goods,,,,,"When they're not playing Rec Room, our community can interact with each other on our website, rec.net. As a Web Developer, you will design, build, and deploy the website that interacts with and delights Rec Room players throughout the day.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2296170179&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Web Developer,ABC Legal Services,Seattle WC,Legal,,,,,"ABC Legal is looking for a web developer with strong Java & JavaScript skills. The candidate will work with a team of developers and product managers to deliver a modern web experience for our customers, partners, and employees.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2296177741&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
UI Developer,Skiltrek,Seattle WC,Information Technology & Servicess,,,,,"Build features and maintain tools that empower developers to build smart NLU applications.
Develop user-facing features while taking an active role in designing and improving the UX
Collaborate with other engineers to improve the efficiency and usability of existing tools",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2298193484&distance=25&geoId=104116203&keywords=web%20developer&start=50
Sr. Software Development Engineer - Angular,Goodwin Recrutiting,Seattle WC,Recruiting and Staffing,,,,,Our client is a medical device company looking for an experienced Senior Software Development Engineer to join their growing team.,,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2299526485&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=225
Sr. Software Engineer (PHP/Node.js),Syrinx Consulting,Seattle WC,Information Technology & Servicess,,,,,"The Senior Software Engineer is a trusted senior-level technologist who is a strong contributor to team goals and technical vision. In this role, you will help us achieve ambitious product development goals that ensure proper interoperability between application and platform services and that they are built for scale with resilience.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2303263463&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=275
Senior Back - End Software Engineer,Sada,Seattle WC,Information Technology & Servicess,,,,,"Atom, created by Google, SADA, and Collins Engineers, provides an in-depth solution to managing assets, resources, data, and analytics in an easy-to-use application in the asset and maintenance management industry.
Clients ranging from maintenance management, asset management, operations management, inspections, mobile workforce management, and more are leveraging Atom to optimize complex workflows and efficiently track assets and workers in real-time. Atom is saving clients millions of dollars a year in field worker time optimization, maintenance prioritization and planning, as well as risk analysis and forecasting. Learn more at www.goatomapp.com.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2304304774&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=225
Senior Software Engineer - Platform,GitHub,Seattle WC,Information Technology & Servicess,,,,,"This team is responsible for how code is safely and reliably delivered to production at GitHub. We enable a high-performing, ship-to-learn organization by providing our engineering teams with the capability to ship changes frequently and confidently. On this team, you’ll collaborate across functions and across teams to deliver the best possible developer experience for all engineers here at GitHub.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2311490740&distance=25&geoId=104116203&keywords=web%20developer&start=125
Senior Software Engineer - Core Services,Zulily,Seattle WC,Retail/Ecommerce,,,,,"As a Senior Software Engineer, you have skills and experience building high-scale systems in the cloud. You love sharing your knowledge with more junior folks, and they seek your mentorship. You are passionate about the application of new and cool technologies to solve business problems, but you also recognize the importance of technical excellence and merciless elimination of technical debt.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2314372237&distance=25&f_L=Seattle%2C%20Washington%2C%20United%20States&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=400
DevOps Architect,Wind River,Seattle WC,Computer Software,,,,," Wind River Systems is looking for an experienced high-performing DevOps architect for a position developing a cloud-based DevOps platform that spans across all products.
The successful candidate will join a highly skilled development team delivering internal and external tools and technologies across a complete DevSecOps platform, pioneering many new industry-leading capabilities.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2315535907&keywords=web%20developer%20in%20seattle%20washington
Software Engineering Intern,Qualtrics,Seattle WC,Accounting,,,,,Our team is a collection of extremely passionate engineers who are riding the cutting edge of cloud computing and web scalability. We organize and sort terabytes of data and develop solutions that are used by millions of users every day. We design tools that make sophisticated research simple. Few teams offer such amazing learning opportunities and possibilities for advancement like the Qualtrics Engineering team.,,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2319385402&geoId=104116203&keywords=software%20internship&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Web Developer,Epic,Seattle WC,Healthcare software company,,,,,"As a software developer at Epic, you’ll write software that impacts the lives of 75% of Americans and 250 million patients around the world. Working in your own office, surrounded by thousands of high-caliber developers, you’ll use modern development methodologies and employ user-centered design, analytics, and machine learning tools to drive innovation in healthcare. Using leading-edge technologies and languages like JS, TS, and C#, you’ll invent better ways to reduce medical errors, streamline record sharing between hospitals, and provide the quality of care a patient deserves.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2320305274&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States
Senior Software Engineer Froentend React,Chewy,Seattle WC,Retail/Ecommerce,,,,,"Storefront engineering team is seeking a talented and motivated Senior Software Engineer within our Discover and Engage division. Discover and Engage team is responsible for powering Chewy.com’s Home Page, Navigation & Product Details Page. Delivering reliable and high-performance services and features at Chewy’s scale requires engineers with extraordinary expertise and boundless creativity. As an engineer in our team you will work with a talented group of backend and frontend engineers, product managers and business leaders in an Agile environment. As part of a dynamic team, this role offers a tremendous opportunity for professional growth in the leading online pet retailer in the United States. Our strong Storefront engineering team @Chewy is focused on building solutions which guide pet lovers in making their best, most informed decisions to purchase products that their pets love, every single day.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2321963700&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=50
"Senior Software Engineer Developer, Platform",Cruise,Seattle WC,Travel Domain,,,,,"At Cruise, our engineers have opportunities to grow and develop while learning from leaders at the cutting-edge of their fields. With a culture of internal mobility, there's opportunity to thrive in a variety of disciplines. This is a place for dreamers and doers to succeed.
If you are looking to solve one of today’s most complex engineering challenges, see the results of your work in hundreds of self-driving cars, and make a positive impact in the  world starting in our cities, join us.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2323971517&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States
Senior Full Stack Web Developer,Lending Tree,Seattle WC,Financial Services,,,,,"You are able to break down complex problems and you design elegant, easy-to-maintain solutions that are resilient and robust. You are comfortable working in an existing codebase and have the judgment to make necessary changes to existing code while managing risk. You also have the ability to gather requirements from business managers, gain insight into business processes, and communicate ideas clearly to team members in order to support multi-person projects.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2324716495&distance=25&geoId=104116203&keywords=web%20developer&start=75
"Senior Software Engineer, Real Time Opeartions",Axon,Seattle WC,Software & Tech Services,,,,,"As a senior engineer on the team, you will be intimately involved in the architecture decisions that will shape this product. You live and breathe cloud services that require high availability and fast, consistent performance. You love working with the latest open source technologies, and can leverage your system design skills to make the right technical decisions on a system that needs to be bulletproof. 

Not only can you drive decisions among competing engineering trade-offs, your empathy with customers allows you to intuit innovative solutions for our customer problems. You will be working closely with product managers and designers to ensure we are building the right solution for our customers. You also enjoy mentoring other engineers, and love to be a hands-on teacher helping to up level the engineers around you. You will also have the opportunity to participate in Axon's mentorship program, where you can have 1:1 mentorship sessions with leaders throughout the company that can accelerate your career trajectory.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2325010287&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=50
Technical Service Intern,McKinstry,Seattle WC,Healthcare Domain ,,,,,"McKinstry is a national leader in designing, constructing, operating, and maintaining high-performing buildings. From new construction and ongoing operations to adaptive reuse and energy retrofits, we provide a single point of accountability that drives waste and redundancy out of the design/build construction process. Every day our teams collaborate to innovate, create, and deliver energy-efficient and cutting-edge solutions across the entire building lifecycle, to improve systems efficiency, reduce facility operational costs, and optimize profitability for our clients. We're champions for sustainability and together, we can build a thriving planet. For more information, visit our website .
Our B.L.U.E . ( Build, Learn, Understand, Enrich ) summer internship program is purposefully designed to be an authentic reflection of what it means to be an integral part of McKinstry. This is achieved through our hands-on, summer-long program structured to build a foundation of industry knowledge while personal and professional growth is facilitated through collaboration, exploration, and mentorship. From weekly ""lunch & learn"" sessions to our 2-day all-intern event, we believe in connecting our interns to various aspects of the company so they can truly evaluate potential career paths within the work we do. You can learn more about our internship program here .",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2325058136&geoId=104116203&keywords=software%20internship&location=Seattle%2C%20Washington%2C%20United%20States
Senior Software Engineer,SurveyMonkey,Seattle WC,Internet,,,,,"Market research solutions within SurveyMonkey caters to an exciting new space, ripe for innovation and helps millions of people make product and marketing decisions every day. We are a small, agile and autonomous group of engineering, product, design and sales teams moving the product forward. Audience platform engineering team is a core part of Market Research. We are accountable for the backend services that power a variety of solutions from self-serve to highly specialized market research use cases.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2328265694&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=50
Software Engineer - Frontend,Convoy Inc.,Seattle WC,Software & Tech Services,,,,,"Our frontend web experiences are a key part of our business, and we’re looking for engineers that have deep expertise in building world-class web apps and care deeply about UI/UX. If you are excited about combining your extensive understanding of browser platforms with the speed of developing a React app, we'd love to hear from you!",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2329015051&distance=25&geoId=104116203&keywords=software%20developer&location=Seattle%2C%20Washington%2C%20United%20States
Sr. Sourcer (Software Engineering),Chewy,Seattle WC,Retail/Ecommerce,,,,,"Chewy has an exciting opportunity to join our pack as a Sr. Sourcing Recruiter of Software Engineering. Our Strategic Sourcing team works across both business and technology to drive top talent to current openings, and to build highly engaged pipelines for future positions and in this role, you’ll specifically focus on identifying and engaging technical talent for historically difficult to fill technology roles.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2329209734&distance=25&f_L=Seattle%2C%20Washington%2C%20United%20States&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=400
Telemetry Senior Software Engineer,Wallmart,Seattle WC,Retail/Ecommerce,,,,,"This role will involve collaboration with the business partners, product managers and representatives from other engineering disciplines. Specifically, you will work with enterprise architects, product owners, data scientists, engineers, and business managers to bring telemetry R&D projects into production. To achieve this effect, you will use a combination of open source and COTS technologies to solve real-time telemetry problems at an enterprise wide scale. Furthermore, you will work on Multi-Cloud deployments with Kubernetes, VMs and technologies which consist of: Prometheus, microservices, Time-Series Databases, Application Performance Management (APM), Logs and Splunk clusters, Kafka, and Spark data streaming.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2332247127&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=250
Sr. Software Developer - Product Engineering,Moz,Seattle WC,Telecommunications,,,,,"We are embarking on an effort to leverage our data collection pipelines with a state of the art application ecosystem that will be unmatched and we need smart and creative engineers who are looking for a challenge and want to grow and evolve as engineering professionals as we grow and evolve our business.

Do you love building services that never fail? We have projects to enhance existing and build new services using NodeJS, Ruby, Python, Elixir, Go and PHP. Our goal is to enable rapid evolution of customer functionality through ongoing experimentation and learning new things about what we can do every day. To do this, the services we need to leverage need to always be ready to go.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2332528972&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
Senior Software Engineer - Account Defense,Sift,Seattle WC,Internet,,,,,"The Account Defense team puts an end to fake accounts and stops account takeover by using real-time machine learning to look at more than 16,000 signals that identify good and bad users with unparalleled accuracy. Sift provides consumer-facing companies an account defense solution that blocks bad actors, removes unnecessary friction for good actors, and allows the customer to make a quick decision on ""gray"" cases. Sift enables its customers to automate an ever-growing share of their detection and prevention processes, to provide real-time protection to end users and reduce the load on the customer's security, fraud/risk and operations teams.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2332529573&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=275
Sr. Software Dev Engineer,Cambia Health Solutions,Seattle WC,Healthcare Domain ,,,,,"Both roles are high visibility, high impact role and an opportunity to work from ground up. In this role, you directly impact Yapstone bottom-line, work on our customer interface and drive customer value by taking their payment experience to the next level.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2333431506&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=200
"Senior Software Engineer, Test",Outreach,Seattle WC,Computer Software,,,,,"We work with a disparate set of third-party APIs to implement our system, integrating with email and scheduling systems like Google Mail and Calendar, and Microsoft Office 365. Customers trust us with their privacy and data, and with their customer contacts. New legislation and practices (like GDPR) demand compliance that we take seriously, and they keep our work dynamic.

We're always concerned with making sure the outward interfaces we implement are up and running. But we’re also working to scale them to larger volumes so we can accommodate even bigger customers. Our road-map contains a rich suite of features for our customers focusing on communication flexibility and efficiency.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2333498276&distance=25&geoId=104116203&keywords=software%20developer%20intern&start=75
Software Engineer,Anduril Industries,Seattle WC,Aerospace Computer Vision National Security,,,,,"We believe in having as little separation between engineers and our users as well as between engineering teams. As a Software Engineer, you will be working alongside a team of engineers with a diverse set of backgrounds and skills. Anduril has a collaborative culture with plenty of opportunities for ownership. As an early member of the team, your decisions today will have a large impact on the company now and into the future, as well as our customers!
We believe that simple systems are easier to understand, maintain, and scale. You will be making trade-offs as you work to ensure that our systems are prepared to scale - so being able to effectively communicate these trade-offs with your teammates is a must.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2334356406&geoId=104116203&keywords=hardware%20internship&location=Seattle%2C%20Washington%2C%20United%20States
Platinion Senior Software Engineer,Boston Consulting Group,Seattle WC,Consulting Firm,,,,,"At BCG Platinion, we are looking for full stack (Senior) Software Engineers to do the design, development, and implementation of Minimum Viable Products (MVPs) for clients looking to transform in the digital space. Our ideal candidates will have a combination of consulting experience, solutions architecture, and core engineering experience within web applications, mobile optimized solutions, some data analytics experience, and cloud to create beautiful, state of the art products for our clients.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2335199979&distance=25&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=225
Software Developer,Futuralis,Seattle WC,Information Technology & Servicess,,,,,"We’re hiring experienced developers to help our customers understand, plan and implement best practices around migrating, building, managing and operating Amazon Connect within their AWS cloud environments. Our engineers will deliver proof-of-concept projects, re-usable artifacts, reference architectures, and work on implementation projects to assist some of the world’s leading enterprises transform their call centers or business units to Amazon Connect and the AWS platform.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2337342332&geoId=104116203&keywords=software%20internship&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Senior Software Engineer,Glossier Inc.,Seattle WC,Consumer Goods,,,,,"We are looking for Senior Software Engineers to architect and build scalable and performant applications using engineering best practices. As an experienced leader, you will closely work with other engineers, managers, product, design and operations teams to create solutions that meet business requirements. You will drive engineering and operational excellence across Glossier. You will collaborate with other engineers to surface common pain points, develop solutions and evangelize best practices. You will also support, mentor and help other engineers in the team.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2340194896&geoId=104116203&keywords=software%20developer%20intern&location=Seattle%2C%20Washington%2C%20United%20States&start=175
Lead Web Developer,PMI Worldwide,Seattle WC,Information Technology & Servicess,,,,,"This is an exciting opportunity at PMI! The IT team is looking for someone passionate about digital commerce and website operations! We also are looking for someone who represents two of our most important core values. Those are to Create a Better World and Go Big! Also, we believe in culture add vs fit so if that speaks to you then please continue below to learn more!

The Web Operations Lead is responsible for leading the technical operations activities for our Direct to Consumer (DTC) E-commerce channel and supporting all other regional and corporate websites. The individual will work closely with the Direct to Consumer Team, Marketing and the Global Information Technology team, as well as external agencies and partners. This individual will operate as a digital technology subject matter expert and will manage projects with internal Information Technology teams and/or external development partners. They will report directly to the VP, Global Information Technology and will be part of the Information Technology Department.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2340645549&keywords=web%20developer%20in%20seattle%20washington
Senior Frontend Web Developer,JLL,Seattle WC,Real estate ,,,,,"We are looking for someone with a deep understanding of WordPress. You’ve built your own themes and plugins before and you’re up-to-date with the latest and greatest trends and technologies. You must be able to code custom modules according to coding standards and best practices. Candidates will often be required to handle complicated backend tasks such as website migration, search customization, and web service programming. You enjoy exploring and building web experiences that push the envelope.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2341323515&distance=25&geoId=104116203&keywords=web%20developer&start=100
Software Engineer Intern,Karat,Seattle WC,Computer Software,,,,,"As a member of Karat's engineering team, you will work on an exciting mission with a highly collaborative team that feels like family. You will be able to easily relate to the product given that you're likely going through technical interviews. Since we are a young company, you will work closely with others, contribute to team culture and practices, and receive mentorship from industry veterans. We're looking for individuals who are hungry to take ownership of their work and who want to make a significant impact on the product and beyond.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2342688357&geoId=104116203&keywords=software%20internship&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Software Engineer,Qumulo,Seattle WC,Information Technology & Servicess,,,,,"At Qumulo we’ve built a truly unique distributed file system from scratch. It wasn’t easy and it’s far from a finished product. Joining Qumulo's team of elite engineers means working on an innovative product at its infancy and watching your work take effect. It's an opportunity to work directly with customers and increase the value of our product by solving their most challenging problems.

We hire smart, adaptive engineers with diverse backgrounds and a knack for taking challenges head on. Our programmers not only solve the industry's most difficult problems, but do so in an adaptive, agile environment, shipping code every two weeks and getting feedback on their work in real-time.

Programmers at Qumulo work alongside people who crave collaborative coding environments. It's a community where individual engineers have a voice, and teams have the autonomy to drive their own progress.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2347328303&distance=25&geoId=104116203&keywords=software%20developer&location=Seattle%2C%20Washington%2C%20United%20States
"Software Engineering Intern - Summer 2021 - Seattle, WA",Qualtrics,"Seattle, WA",Accounting,,,,,Our team is a collection of extremely passionate engineers who are riding the cutting edge of cloud computing and web scalability. We organize and sort terabytes of data and develop solutions that are used by millions of users every day. We design tools that make sophisticated research simple. Few teams offer such amazing learning opportunities and possibilities for advancement like the Qualtrics Engineering team.,,NA-Feb 2020 Data,,,https://www.indeed.com/rc/clk?jk=92c00ef4ce23b559&fccid=10db9f943841d5db&vjs=3
Salesforce Developer,Slalom,Seattle WC,Management consulting company,,,,,"The Salesforce Developer works in conjunction with the project Architect to build the technical solution for a client need. Depending on the nature of the project, this role will be required to configure the solution within the Salesforce platform and/or perform custom development and may be called on to assist with activities like scoping and documentation.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2347392817&distance=25&geoId=104116203&keywords=web%20developer&start=100
Web Application Developer,Intellipro Group Inc.,Seattle WC,Recruiting and Staffing,,,,,Building world class web applications for Company's Cloud subscription management.,,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2348177089&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States
Web Developer III,Intelliswift Software Inc.,Seattle WC,Information Technology & Servicess,,,,,"Collaborate. Innovate. Simplify. Iterate.
Partner with a Senior designer and work closely with a cross-functional teams—including product managers, engineers, content strategists, quality assurance, and support—to create elegant and easy to use designs that meet the requirements and raise the user experience bar.
Generate user interface requirements from business goals, project requirements, technical and time constraints.
Create process flows, conceptual diagrams, wireframes, and visual designs to effectively communicate high-level design strategies and detailed interactions.
Give and solicit feedback from other designers and team members.
Present your work to and garner buy-in from cross-functional team members, stakeholders and leadership.
Provide detailed design documentation and deliverables that support and enable implementation efforts across engineering, content strategy, and quality assurance, in delivering high-quality software at a high velocity.
Create and own new design patterns and processes",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2348974898&geoId=104116203&keywords=web%20developer&location=Seattle%2C%20Washington%2C%20United%20States&start=25
Senior Developer Relations Engineer,Google,Seattle WC,Technology company,,,,,"In Developer Relations, we collaborate and connect with communities that love technology as much as we do. Our team interacts with developers across the globe both at conferences as well as online, and advocates for third-party developer interests and needs internally at Google. Our focus is on supporting third-party developers who build applications and businesses on Google's platforms. You might write sample code, author libraries, or work with strategic Google partners to facilitate and organize our developer communities.",,NA-Feb 2020 Data,,,https://www.linkedin.com/jobs/search/?currentJobId=2349970939&distance=25&geoId=104116203&keywords=web%20developer&start=75
